year,source,electricity_twh,population_total,per_capita_mwh
1965,hydro,5691.076,13386836728.0,0.42512477858914244
1965,nuclear,157.78199999999998,13386836728.0,0.011786354252755026
1965,other_renewables,110.819,13386836728.0,0.008278206588432518
1965,solar,0.0,13386836728.0,0.0
1965,wind,0.0,13386836728.0,0.0
1966,hydro,6068.481,13659895648.0,0.44425529713973405
1966,nuclear,212.16,13659895648.0,0.015531597419711123
1966,other_renewables,122.815,13659895648.0,0.00899091787849652
1966,solar,0.0,13659895648.0,0.0
1966,wind,0.0,13659895648.0,0.0
1967,hydro,6186.773999999999,13931893295.0,0.4440727379257464
1967,nuclear,252.595,13931893295.0,0.01813070159607478
1967,other_renewables,124.238,13931893295.0,0.008917524515105756
1967,solar,0.0,13931893295.0,0.0
1967,wind,0.0,13931893295.0,0.0
1968,hydro,6504.121,14213170583.0,0.4576122521022444
1968,nuclear,320.28200000000004,14213170583.0,0.02253416984828712
1968,other_renewables,137.538,14213170583.0,0.009676799359919426
1968,solar,0.0,14213170583.0,0.0
1968,wind,0.0,14213170583.0,0.0
1969,hydro,6864.549,14504538717.0,0.47326903212402244
1969,nuclear,382.09499999999997,14504538717.0,0.026343133515315916
1969,other_renewables,144.791,14504538717.0,0.009982461547039629
1969,solar,0.0,14504538717.0,0.0
1969,wind,0.0,14504538717.0,0.0
1970,hydro,7186.222,14830701856.0,0.4845503651664805
1970,nuclear,489.986,14830701856.0,0.03303862519505564
1970,other_renewables,161.152,14830701856.0,0.01086610745497546
1970,solar,0.0,14830701856.0,0.0
1970,wind,0.0,14830701856.0,0.0
1971,hydro,7495.324,15125625228.0,0.49553812731819724
1971,nuclear,680.11,15125625228.0,0.04496409171509852
1971,other_renewables,173.089,15125625228.0,0.011443427785026964
1971,solar,0.0,15125625228.0,0.0
1971,wind,0.0,15125625228.0,0.0
1972,hydro,7846.479,15420454349.0,0.5088357854065977
1972,nuclear,947.272,15420454349.0,0.06142957779071079
1972,other_renewables,185.067,15420454349.0,0.012001397352601443
1972,solar,0.0,15420454349.0,0.0
1972,wind,0.0,15420454349.0,0.0
1973,hydro,7952.651,15718173157.0,0.5059526269729591
1973,nuclear,1263.432,15718173157.0,0.08038033347643442
1973,other_renewables,198.692,15718173157.0,0.012640909221152945
1973,solar,0.0,15718173157.0,0.0
1973,wind,0.0,15718173157.0,0.0
1974,hydro,8732.779,16014268022.0,0.5453124044135597
1974,nuclear,1646.269,16014268022.0,0.1028001403335074
1974,other_renewables,212.18200000000002,16014268022.0,0.013249559686931037
1974,solar,0.0,16014268022.0,0.0
1974,wind,0.0,16014268022.0,0.0
1975,hydro,8831.287,16304850207.0,0.5416355800808615
1975,nuclear,2297.622,16304850207.0,0.14091647398352575
1975,other_renewables,215.57,16304850207.0,0.01322121928525608
1975,solar,0.0,16304850207.0,0.0
1975,wind,0.0,16304850207.0,0.0
1976,hydro,8753.998,16592210522.0,0.5275968496417562
1976,nuclear,2688.018,16592210522.0,0.16200481523760166
1976,other_renewables,238.97,16592210522.0,0.014402541462642611
1976,solar,0.0,16592210522.0,0.0
1976,wind,0.0,16592210522.0,0.0
1977,hydro,9108.439,16880095340.0,0.5395964191278081
1977,nuclear,3344.5950000000003,16880095340.0,0.19813839511169493
