year,electricity_twh_fossil,electricity_twh_low_carbon,population,fossil_per_capita_mwh,low_carbon_per_capita_mwh
1965,,5959.677,13386836728.0,,0.44518933943032996
1966,,6403.456,13659895648.0,,0.4687778124379417
1967,,6563.606999999999,13931893295.0,,0.471120964036927
1968,,6961.941,14213170583.0,,0.4898232213104509
1969,,7391.4349999999995,14504538717.0,,0.5095946271863779
1970,,7837.36,14830701856.0,,0.5284550978165116
1971,,8348.523,15125625228.0,,0.5519456468183227
1972,,8978.818000000001,15420454349.0,,0.58226676054991
1973,,9414.775,15718173157.0,,0.5989738696705464
1974,,10591.23,16014268022.0,,0.6613621044339981
1975,,11344.479,16304850207.0,,0.6957732733496433
1976,,11680.985999999999,16592210522.0,,0.7040042063420004
1977,,12704.877,16880095340.0,,0.752654338977211
1978,,13976.68,17169791029.0,,0.8140273796223382
1979,,14654.669,17467697149.0,,0.8389582710872084
1980,,15268.698999999999,17776740544.0,,0.8589144315971627
1981,,16359.222999999998,18103584553.0,,0.903645515732356
1982,,17054.74,18431024897.0,,0.9253278152087997
1983,,18349.264000000003,18760045172.0,,0.9781034017650927
1984,,20198.521,19088989179.0,,1.0581241788444518
1985,36201.974,21909.903,19415179916.0,1.8646221233399978,1.1284934311602286
1986,36988.141,22774.529,19761086555.0,1.8717665598525082,1.1524937627601015
1987,38866.534,23857.757999999998,20116807508.0,1.9320428444992406,1.1859614399805887
1988,40157.028,25246.814000000002,20474728754.0,1.9612971914050294,1.2330719641434915
1989,42735.81,25551.553,20833256551.0,2.0513264402702647,1.2264790642523682
1990,45347.875,27484.214,21212385295.0,2.137801778034317,1.2956682437065832
1991,46021.229999999996,28445.245,21564410089.0,2.1341288637186238,1.319082918688785
1992,46512.329,28634.865,21900877944.0,2.1237655001288473,1.307475667104243
1993,46838.817,29958.661,22229326641.0,2.107073136152042,1.3477088840263804
1994,48404.058000000005,30333.225,22551448981.0,2.14638350027004,1.345067672838064
1995,49802.799,31771.429000000004,22964577786.0,2.168679061470118,1.3834971971210794
1996,51613.768000000004,32578.446,23284291730.0,2.2166776038757354,1.3991598446615066
1997,53214.005,32882.534,23602225774.0,2.254618081766681,1.3931963160958787
1998,54922.895,33314.799,23918573769.0,2.2962445641798084,1.392842203793025
1999,56647.225000000006,34088.897000000004,24234287018.0,2.337482631856482,1.4066391544624564
2000,92309.43400000001,53079.028,25104206732.0,3.6770504236779726,2.1143479483994554
2001,94073.762,53178.085,25437720394.0,3.6981993882670867,2.090520855498637
2002,97879.003,54291.481,25769827210.0,3.798201757519662,2.1067848285351385
2003,103174.349,54027.628000000004,26102469288.0,3.952666234816029,2.0698282374701593
2004,106752.673,57363.905,26435775447.0,4.038189581918036,2.16993464462605
2005,111596.571,58758.960999999996,26771900011.0,4.168421776345622,2.194799807852905
2006,115757.244,60565.473,27110540474.0,4.269824281482526,2.2340193865955755
2007,122902.936,60986.919,27454830569.0,4.476550517808442,2.2213547756824257
2008,123751.796,63338.415,27804516226.0,4.450780405388953,2.2779901827880846
2009,121071.691,63837.888000000006,28158439723.0,4.2996590788057,2.2670960688158015
2010,129011.836,67646.927,28514284192.0,4.52446342791925,2.3723873460929834
2011,133789.031,68426.10399999999,28871101033.0,4.634012081737984,2.370055230030478
2012,137089.69,69657.178,29243023490.0,4.687945145168708,2.3820101236734326
2013,139089.69400000002,72935.198,29605744836.0,4.698064337529171,2.4635488282433697
2014,140885.46300000002,75898.369,29965551604.0,4.701580830609296,2.532854058654091
2015,140811.703,78410.29999999999,30321961532.0,4.643885022128126,2.585924394015552
2016,143117.005,81706.50899999999,30675180676.0,4.665563554837463,2.6636031866611454
2017,145803.828,85267.241,31024184840.0,4.69968280397855,2.748411970846161
2018,150051.791,89690.963,31362104185.0,4.7844937353332115,2.8598515734444176
2019,148804.893,93822.032,31688510899.0,4.695862594310037,2.9607586263373693
2020,143959.117,97142.587,31991718735.0,4.499886929879262,3.036491656002301
2021,152001.676,102327.014,32261411389.0,4.711563116913949,3.1718083491812106
2022,153735.307,105853.189,32530635779.0,4.7258623546252085,3.253953895002969
2023,154386.955,110264.944,31899924874.0,4.839727855466924,3.4565894570451268
2024,118479.057,89684.33499999999,15511638858.0,7.638074744042626,5.781744651291055
