A_strategy,B_strategy,C_strategy,goal_rate,counter_rate,net_advantage
OVERLOAD_B,MAN_MARK,STAY_BACK,0.18715,0.0981,0.08905
OVERLOAD_B,COUNTER_PRESS,STAY_BACK,0.21865,0.136,0.08265
OVERLOAD_B,GOAL_LINE,PRESS_B,0.19705,0.11705,0.08
SPLIT_ATTACK,MAN_MARK,STAY_BACK,0.13975,0.06225,0.07750000000000001
OVERLOAD_B,MAN_MARK,PRESS_B,0.20635,0.1314,0.07495000000000002
OVERLOAD_B,GOAL_LINE,STAY_BACK,0.1661,0.0927,0.07339999999999999
SPLIT_ATTACK,COUNTER_PRESS,STAY_BACK,0.17145,0.09815,0.07329999999999999
SPLIT_ATTACK,MAN_MARK,PRESS_B,0.1625,0.08945,0.07305
OVERLOAD_B,COUNTER_PRESS,PRESS_B,0.23735,0.16535,0.07200000000000001
SPLIT_ATTACK,GOAL_LINE,STAY_BACK,0.12085,0.0493,0.07155
SPLIT_ATTACK,COUNTER_PRESS,PRESS_B,0.19105,0.1287,0.06234999999999999
SPLIT_ATTACK,GOAL_LINE,PRESS_B,0.143,0.0814,0.06159999999999999
SHORT_CORNER,MAN_MARK,STAY_BACK,0.06785,0.00945,0.058399999999999994
SHORT_CORNER,MAN_MARK,PRESS_B,0.08905,0.0389,0.05015000000000001
SHORT_CORNER,GOAL_LINE,STAY_BACK,0.0494,0.0,0.0494
SHORT_CORNER,COUNTER_PRESS,STAY_BACK,0.0991,0.0536,0.04549999999999999
SHORT_CORNER,COUNTER_PRESS,PRESS_B,0.1232,0.0809,0.042300000000000004
SHORT_CORNER,GOAL_LINE,PRESS_B,0.0668,0.03075,0.03605
OVERLOAD_B,MAN_MARK,PRESS_A,0.1687,0.18335,-0.014650000000000024
OVERLOAD_B,GOAL_LINE,PRESS_A,0.15165,0.17325,-0.02159999999999998
SPLIT_ATTACK,MAN_MARK,PRESS_A,0.118,0.1401,-0.02210000000000001
OVERLOAD_B,COUNTER_PRESS,PRESS_A,0.1945,0.22205,-0.02754999999999999
SPLIT_ATTACK,COUNTER_PRESS,PRESS_A,0.1473,0.18345,-0.036150000000000015
SPLIT_ATTACK,GOAL_LINE,PRESS_A,0.09735,0.13445,-0.03709999999999998
SHORT_CORNER,MAN_MARK,PRESS_A,0.05035,0.0875,-0.037149999999999996
SHORT_CORNER,GOAL_LINE,PRESS_A,0.03045,0.07895,-0.0485
SHORT_CORNER,COUNTER_PRESS,PRESS_A,0.07795,0.1292,-0.051250000000000004
