A_strategy,B_strategy,C_strategy,shot_rate,counter_rate,possession_rate,net_advantage
CONTROLLED_BUILDUP,DEEP_SHELL,SIT_DEEP,0.05695,0.0,0.77315,0.2502375
FAST_BREAK,DEEP_SHELL,SIT_DEEP,0.0978,0.02075,0.6638,0.243
BACK_PASS_SWITCH,DEEP_SHELL,SIT_DEEP,0.04185,0.0,0.79115,0.2396375
CONTROLLED_BUILDUP,DEEP_SHELL,MATCH_MARK,0.05415,0.01165,0.71985,0.2224625
CONTROLLED_BUILDUP,MID_BLOCK,SIT_DEEP,0.0486,0.0094,0.6993,0.21402500000000002
CONTROLLED_BUILDUP,DEEP_SHELL,SWEEP_FORWARD,0.0441,0.029,0.69475,0.1887875
FAST_BREAK,DEEP_SHELL,MATCH_MARK,0.09255,0.06185,0.61015,0.1832375
BACK_PASS_SWITCH,DEEP_SHELL,MATCH_MARK,0.03575,0.04005,0.73545,0.1795625
FAST_BREAK,MID_BLOCK,SIT_DEEP,0.0891,0.0608,0.58645,0.1749125
BACK_PASS_SWITCH,MID_BLOCK,SIT_DEEP,0.0289,0.03915,0.72005,0.16976249999999998
CONTROLLED_BUILDUP,HIGH_PRESS,SIT_DEEP,0.03785,0.03965,0.645,0.15945
CONTROLLED_BUILDUP,MID_BLOCK,MATCH_MARK,0.0449,0.05085,0.6489,0.156275
FAST_BREAK,DEEP_SHELL,SWEEP_FORWARD,0.0863,0.0798,0.5785,0.151125
BACK_PASS_SWITCH,DEEP_SHELL,SWEEP_FORWARD,0.02445,0.05975,0.714,0.1432
FAST_BREAK,HIGH_PRESS,SIT_DEEP,0.08005,0.088,0.5308,0.12475000000000001
FAST_BREAK,MID_BLOCK,MATCH_MARK,0.0855,0.0999,0.54145,0.1209625
CONTROLLED_BUILDUP,MID_BLOCK,SWEEP_FORWARD,0.0339,0.07145,0.62165,0.11786250000000001
BACK_PASS_SWITCH,HIGH_PRESS,SIT_DEEP,0.01735,0.0665,0.6675,0.117725
BACK_PASS_SWITCH,MID_BLOCK,MATCH_MARK,0.0242,0.0792,0.6738,0.11344999999999998
CONTROLLED_BUILDUP,HIGH_PRESS,MATCH_MARK,0.03515,0.08335,0.58205,0.0973125
FAST_BREAK,MID_BLOCK,SWEEP_FORWARD,0.0748,0.12185,0.50785,0.07991250000000001
BACK_PASS_SWITCH,MID_BLOCK,SWEEP_FORWARD,0.01395,0.1012,0.638,0.07225000000000001
FAST_BREAK,HIGH_PRESS,MATCH_MARK,0.07675,0.13055,0.4776,0.0656
CONTROLLED_BUILDUP,HIGH_PRESS,SWEEP_FORWARD,0.0253,0.1016,0.5622,0.06425000000000002
BACK_PASS_SWITCH,HIGH_PRESS,MATCH_MARK,0.0154,0.10805,0.60815,0.059387499999999996
FAST_BREAK,HIGH_PRESS,SWEEP_FORWARD,0.0635,0.15395,0.45045,0.0221625
BACK_PASS_SWITCH,HIGH_PRESS,SWEEP_FORWARD,0.0047,0.13065,0.5812,0.019350000000000034
